Art.code;Omschrijving;Brutoprijs;Korting;Nettoprijs;Per;Eenheid;Groepcode;Art.Fab.;Fabrikant;Type rooster;Breedte
123500;KANTSCHUIF M.HEVEL EN HORIZONTALE  BEV.  T.B.V. BESLAGGROEF. PENSCHOOT 24X9MM;10.66;;7.46;1;st;1223;123500;BURGHOUWT;;
123501;SLUITPLAAT KANTSCHUIF VERSTELBAAR  ZONDER NOKKEN (VLAK);2.70;;1.89;1;st;1223;123501;BURGHOUWT;;
123502;SLUITPLAAT KANTSCHUIF VERSTELBAAR  MET NOKKEN VOOR KUNSTSTOF PROFIEL;2.70;;1.89;1;st;1223;123502;BURGHOUWT;;
188060;VULPLAAT, ASSORTI 60 STUKS  1 TM 6MM, 100x28MM;7.44;;7.44;1;st;791;188060;BURGHOUWT;;
219016;BETONBEKISTINGSBAND GEEL GLAD  50MMX33MTR ENKELZIJDIG;10.87;;6.52;1;st;725;219016;BURGHOUWT;;
219017;BETONBEKISTINGSBAND SOFT PVC ORANJE  48MMX33MTR;9.59;;5.76;1;st;725;219017;BURGHOUWT;;
300140;WIERINGERMEER PLAATNEUS  THERMISCH VERZINKT;258.00;;168.00;100;st;1123;714510.0010;BODEGRAVEN;;
300202;WINDWERVEL VERZINKT ENKEL  LENGTE PEN 135MM PLAAT 120MM;686.00;;446.00;100;st;1182;83358.0025;BODEGRAVEN;;
300203;WINDWERVEL VERZINKT DUBBEL  LENGTE PEN 135MM PLAAT 155MM;584.00;;380.00;100;st;1182;83360.0025;BODEGRAVEN;;
302929;TELE-UITZETTER AXA ALU-LINE  2815-00-61/E BUITENDRAAIEND 20EX;24.05;;12.02;1;st;1162;28150061E;AXA;;
302930;TELE-UITZETTER AXA GRIJS  2815-00-49/E BUITENDRAAIEND 20EX;22.24;;11.12;1;st;1162;28150049E;AXA;;
302931;TELE-UITZETTER AXA RVS  2815-00-81 BUITENDRAAIEND 20EX;37.00;;18.50;1;st;1162;28150081;AXA;;
302932;TELE-UITZETTER AXA WIT  2815-00-54/E BUITENDRAAIEND 20EX;22.24;;11.12;1;st;1162;28150054E;AXA;;
302934;TELE-UITZETTER AXA GRIJS  2816-00-49 BINNENDRAAIEND 20IN;22.08;;11.04;1;st;1162;28160049;AXA;;
302935;TELE-UITZETTER AXA ZWART  2815-00-56/E BUITENDRAAIEND 20EX;24.74;;12.37;1;st;1162;28150056E;AXA;;
302936;TELE-UITZETTER AXA ALU-LINE  2825-00-61/E BUITENDRAAIEND 30EX;24.74;;12.37;1;st;1162;28250061BL;AXA;;
302937;TELE-UITZETTER AXA ZWART  2825-00-56/E BUITENDRAAIEND 30EX;22.80;;11.40;1;st;1162;28250056E;AXA;;
302938;TELE-UITZETTER AXA GRIJS  2825-00-49 BUITENDRAAIEND 30EX;20.07;;10.03;1;st;1162;28250049;AXA;;
302939;TELE-UITZETTER AXA WIT  2825-00-54 BUITENDRAAIEND 30EX;21.50;;10.75;1;st;1162;28250054;AXA;;
302940;TELE-UITZETTER AXA RVS  2825-00-81 BUITENDRAAIEND 30EX;35.85;;17.92;1;st;1162;28250081;AXA;;
302941;TELE-UITZETTER AXA WIT T-VOET  2825-03-54 BUITENDRAAIEND 30EX;34.91;;17.45;1;st;1162;28250354;AXA;;
302942;TELE-UITZETTER AXA GRIJS  2826-00-49/E BINNENDRAAIEND 30IN;22.77;;11.38;1;st;1162;28260049E;AXA;;
302943;TELE-UITZETTER AXA WIT  2826-00-54/E BINNENDRAAIEND 30IN;21.50;;10.75;1;st;1162;28260054E;AXA;;
302944;TELE-UITZETTER AXA RVS  2826-00-81 BINNENDRAAIEND 30IN;37.66;;18.83;1;st;1162;28260081;AXA;;
302945;TELE-UITZETTER AXA GRIJS  2835-00-49/E BUITENDRAAIEND 35EX;26.16;;13.08;1;st;1162;28350049E;AXA;;
302946;TELE-UITZETTER AXA ALU-LINE  2826-00-61/E BINNENDRAAIEND 30IN;24.38;;12.19;1;st;1162;28260061E;AXA;;
302947;TELE-UITZETTER AXA GRIJS  2836-00-49 BINNENDRAAIEND 35IN;27.59;;13.79;1;st;1162;28360049;AXA;;
302948;TELE-UITZETTER AXA ALU-LINE  2835-00-61/E BUITENDRAAIEND 35EX;29.48;;14.74;1;st;1162;28350061E;AXA;;
302949;TELE-UITZETTER AXA WIT  2835-00-54/E BUITENDRAAIEND 35EX;27.69;;13.84;1;st;1162;28350054E;AXA;;
302954;TELE-UITZETTER AXA GRIJS  2845-00-49/E BUITENDRAAIEND 50EX;31.21;;15.60;1;st;1162;28450049E;AXA;;
303015;KOMPAKT E195 HAUTAU 2 SCHARIG EV1  ELEKTRISCH 230V FB 1201-2400MM VALRAAM;883.57;;530.14;1;st;1152;239597;MACO;;
303028;TELE-UITZETTER RVS/ZWART-SU  BT.DR-30CM,5562;10.02;;5.01;1;st;1162;2423-30-81;AXA;;
303030;SCHAARHOUDER HAUTAU PRIMAT-A EV1  COMPLEET (DOOS 9) KLEPRAAM;64.35;;38.61;1;st;1151;133871;MACO;;
